movie,sentence,score
그대가 조국,너희가 휘두른 칼은 정의의 칼이고 남이 휘두른 칼은 불의의 칼의 냐!  조국은 반성과 사죄부터 해야한다.,1
괴테스쿨의 사고뭉치들,내용자체가 진부하긴 하지만 독일코미디래서 새롭긴하네,6
삼진그룹 영어토익반,신선한 소재 재밌다,10
박수건달,조폭과 무속의 만남.,7
범죄도시2,"1편 빌런은 사투리와 장발머리로 인한 각인효과가 셌는데 2편에선 아무래도 그게 없기도 했고, 반복적으로 사용하면 효과가 오히려 떨어지기 때문에 일반 다른 영화와 비슷한 형태의 악역이 등장했던 것 같아요. 2편은 캐릭터 자체 흥미도는 떨어지지만, 또 인물 간 연결성?같은 건 떨어지지만 2편임에도 불구하고 1편과 유사한 수준의 스릴과 긴장을 일궈냈다는 점에서 칭찬받을 만하다고 생각해요~",7
그대가 조국,얼마나 울었는 지 모릅니다.시작부터 끝까지.미안해서. 고마워서. 희망이 없어서.그런데 또 버텨주셔서.정말 펑펑 울면서 봤네요.이 영화.,10
닥터 스트레인지: 대혼돈의 멀티버스,우리 완다가 뭘 잘못했냐,5
범죄도시2,때릴때 확실하게 때려주는 동석이형님의 펀치!!!원펀맨을 보는 느낌,8
그대가 조국,에휴... 이따위를 영화라고..,1
그대가 조국,0점은 왜 없나요?,1
그대가 조국,..,10
그대가 조국,현 시대에 아직도 이런 선동용 감성팔이 제작물이 있다는게 놀랍다,1
범죄도시2,"간만에 전작만한 속편이 나온거 같아 너무 재밌었음, 부디 3편도 재밌기를,,,",10
그대가 조국,정말 대깨문만 평점 10점줌 ㅋㅋ 좌파 감성팔이용 영화지들이 지은 죄는 생각 안하고 남한테만 가혹하고 자기들은 다 죄를 지어도 괜찮다? 제정신이 아닌듯 검찰이 제일 공정한 조직이야 무슨 공화국이야,1
닥터 스트레인지: 대혼돈의 멀티버스,명불허전 마블의힘이다 스토리 영상미 최고,10
그대가 조국,스크린이 아깝다.. 스토리도감동도없는,1
